Chapter,Unit,Lesson,Topic,Fact,Flashcard_Question,Flashcard_Answer,Quiz_Question,Quiz_Options,Quiz_CorrectAnswer,Quiz_Explanation,Match_Term,Match_Definition,VisualisationIdea
NE,Arunachal Pradesh,Arunachal Pradesh,Arunachal Pradesh Profile,"Important National Parks: Namdapha National Park, Mouling National Park.",What are the major declared National Parks located in Arunachal Pradesh?,Foxtail Orchid (Rhynchostylis retusa),Which flower is the official State Flower of Arunachal Pradesh?,A: Dispur; B: Foxtail Orchid (Rhynchostylis retusa); C: Itanagar; D: Imphal,B,"Official Syllabus Fact: Namdapha National Park, Mouling National Park.",Arunachal Pradesh State Flower,Foxtail Orchid (Rhynchostylis retusa),Interactive SVG/CSS concept breakdown for Arunachal Pradesh Profile in Arunachal Pradesh.
NE,Arunachal Pradesh,Arunachal Pradesh,Arunachal Pradesh Profile,"Highest Peak: Kangto Peak (7,090 m).",What is the highest mountain peak in Arunachal Pradesh?,"Snow Leopard, Red Panda, Hoolock Gibbon",Which is the highest mountain peak in Arunachal Pradesh?,"A: Itanagar; B: Dispur; C: Imphal; D: Kangto Peak (7,090 m)",D,"Official Syllabus Fact: Kangto Peak (7,090 m).",Arunachal Pradesh Highest Peak,"Kangto Peak (7,090 m)",Interactive SVG/CSS concept breakdown for Arunachal Pradesh Profile in Arunachal Pradesh.
NE,Arunachal Pradesh,Arunachal Pradesh,Arunachal Pradesh Profile,"Major Hills: Dafla Hills, Miri Hills, Abor Hills, and Mishmi Hills (part of the Eastern Himalayas).",What is the geographical significance of Major Hills in Arunachal Pradesh?,"Namdapha National Park, Mouling National Park",Which statement identifies statement describes the geographical significance of Major Hills in Arunachal Pradesh?,"A: It is an arid rain-shadow plateau located in the Deccan Peninsular Interior.; B: Dafla Hills, Miri Hills, Abor Hills, and Mishmi Hills (part of the Eastern Himalayas).; C: It is a major south-flowing river basin originating near Mahabaleshwar in the Western Ghats.; D: It is an isolated coral atoll reef structure in the Lakshadweep archipelago.",B,"Official NE Syllabus Fact: Dafla Hills, Miri Hills, Abor Hills, and Mishmi Hills (part of the Eastern Himalayas).",Arunachal Pradesh National Parks,"Namdapha National Park, Mouling National Park",Interactive SVG/CSS concept breakdown for Arunachal Pradesh Profile in Arunachal Pradesh.
NE,Arunachal Pradesh,Arunachal Pradesh,Major Hill Ranges (Arunachal Pradesh),"Major Hills: Dafla Hills, Miri Hills, Abor Hills, and Mishmi Hills (outer ranges of the Eastern Himalayas).",What is the geographical significance of Major Hills in Arunachal Pradesh?,"Dafla, Miri, Abor, and Mishmi Hills.",What is the correct West-to-East sequence of major hill ranges in Arunachal Pradesh?,"A: Garo, Khasi, Jaintia, Mizo; B: Mikir, Rengma, Barail, Naga; C: Mishmi, Abor, Miri, Dafla; D: Dafla, Miri, Abor, Mishmi",D,"Official Syllabus Fact: Dafla Hills, Miri Hills, Abor Hills, and Mishmi Hills (outer ranges of the Eastern Himalayas).",Dafla Hills,Westernmost outer Himalayan hills of Arunachal.,Interactive SVG/CSS concept breakdown for Major Hill Ranges (Arunachal Pradesh) in Arunachal Pradesh.
NE,Assam,Assam Profile,Assam Profile,Capital: Dispur.,What is the capital city of Assam Profile?,Dispur,What is the capital city of Assam?,A: Shillong; B: Dispur; C: Itanagar; D: Imphal,B,Official Syllabus Fact: Dispur.,Assam Capital,Dispur,Interactive SVG/CSS concept breakdown for Assam Profile in Assam Profile.
NE,Assam,Assam Profile,Assam Profile,"State Symbols: One-horned Rhinoceros (Animal), White-winged Wood Duck (Bird), Foxtail Orchid (Flower), Hollong (Tree).","What are the official state symbols (animal, bird, flower) of Assam Profile?",One-horned Rhinoceros,Which animal is recognized as the official State Animal of Assam?,A: Imphal; B: Dispur; C: One-horned Rhinoceros; D: Itanagar,C,"Official Syllabus Fact: One-horned Rhinoceros (Animal), White-winged Wood Duck (Bird), Foxtail Orchid (Flower), Hollong (Tree).",Assam State Animal,One-horned Rhinoceros,Interactive SVG/CSS concept breakdown for Assam Profile in Assam Profile.
NE,Assam,Assam Profile,Assam Profile,"Special Conserved Fauna: One-horned Rhino, Pygmy Hog, Golden Langur, Wild Water Buffalo.",What is the geographical significance of Special Conserved Fauna in Assam Profile?,White-winged Wood Duck,Which species is the official State Bird of Assam?,A: Itanagar; B: White-winged Wood Duck; C: Dispur; D: Imphal,B,"Official Syllabus Fact: One-horned Rhino, Pygmy Hog, Golden Langur, Wild Water Buffalo.",Assam State Bird,White-winged Wood Duck,Interactive SVG/CSS concept breakdown for Assam Profile in Assam Profile.
NE,Assam,Assam Profile,Assam Profile,"Important National Parks: Kaziranga NP, Manas NP, Orang NP, Nameri NP, Dibru-Saikhowa NP, Raimona NP, Dihing Patkai NP.",What are the major declared National Parks located in Assam Profile?,Foxtail Orchid (Kopou Phool),Which flower is the official State Flower of Assam?,A: Foxtail Orchid (Kopou Phool); B: Dispur; C: Itanagar; D: Imphal,A,"Official Syllabus Fact: Kaziranga NP, Manas NP, Orang NP, Nameri NP, Dibru-Saikhowa NP, Raimona NP, Dihing Patkai NP.",Assam State Flower,Foxtail Orchid (Kopou Phool),Interactive SVG/CSS concept breakdown for Assam Profile in Assam Profile.
NE,Assam,Assam Profile,Assam Profile,Major Valleys: Brahmaputra Valley and Barak Valley.,What is the geographical significance of Major Valleys in Assam Profile?,"One-horned Rhino, Pygmy Hog, Golden Langur, Wild Water Buffalo",Which is the highest mountain peak in Assam?,A: Dispur; B: Itanagar; C: N/A Peak; D: Imphal,C,Official Syllabus Fact: Brahmaputra Valley and Barak Valley.,Assam Highest Peak,N/A Peak,Interactive SVG/CSS concept breakdown for Assam Profile in Assam Profile.
NE,Assam,Assam Profile,Major Hill Ranges (Assam),"Major Hills: Mikir Hills (Karbi Plateau), Rengma Hills, and Barail Range (connecting Karbi Anglong and Dima Hasao).",What is the geographical significance of Major Hills in Assam Profile?,"Mikir Hills, Rengma Hills, and Barail Range.",Which three major hill ranges are located in Assam?,"A: Garo, Khasi, Jaintia; B: Dafla, Miri, Abor; C: Jampui, Atharamura, Longtharai; D: Mikir, Rengma, Barail",D,"Official Syllabus Fact: Mikir Hills (Karbi Plateau), Rengma Hills, and Barail Range (connecting Karbi Anglong and Dima Hasao).",Mikir Hills,"Located in Karbi Anglong, Assam.",Interactive SVG/CSS concept breakdown for Major Hill Ranges (Assam) in Assam Profile.
NE,Manipur,Manipur,Manipur Profile,Capital: Imphal.,What is the capital city of Manipur?,Imphal,What is the capital city of Manipur?,A: Dispur; B: Itanagar; C: Imphal; D: Shillong,C,Official Syllabus Fact: Imphal.,Manipur Capital,Imphal,Interactive SVG/CSS concept breakdown for Manipur Profile in Manipur.
NE,Manipur,Manipur,Manipur Profile,"State Symbols: Sangai/Brow-antlered Deer (Animal), Mrs. Hume Pheasant/Nongin (Bird), Shirui Lily/Siroi Lily (Flower).","What are the official state symbols (animal, bird, flower) of Manipur?",Sangai (Brow-antlered Deer),Which animal is recognized as the official State Animal of Manipur?,A: Itanagar; B: Sangai (Brow-antlered Deer); C: Dispur; D: Imphal,B,"Official Syllabus Fact: Sangai/Brow-antlered Deer (Animal), Mrs. Hume Pheasant/Nongin (Bird), Shirui Lily/Siroi Lily (Flower).",Manipur State Animal,Sangai (Brow-antlered Deer),Interactive SVG/CSS concept breakdown for Manipur Profile in Manipur.
NE,Manipur,Manipur,Manipur Profile,Special Conserved Fauna: Sangai (endemic to the floating phumdis of Loktak Lake).,What is the geographical significance of Special Conserved Fauna in Manipur?,Mrs. Hume Pheasant (Nongin),Which species is the official State Bird of Manipur?,A: Dispur; B: Itanagar; C: Imphal; D: Mrs. Hume Pheasant (Nongin),D,Official Syllabus Fact: Sangai (endemic to the floating phumdis of Loktak Lake).,Manipur State Bird,Mrs. Hume Pheasant (Nongin),Interactive SVG/CSS concept breakdown for Manipur Profile in Manipur.
NE,Manipur,Manipur,Manipur Profile,"Important National Parks: Keibul Lamjao NP (the world floating national park), Sirohi NP.",What are the major declared National Parks located in Manipur?,Shirui Lily / Siroi Lily,Which flower is the official State Flower of Manipur?,A: Itanagar; B: Shirui Lily / Siroi Lily; C: Dispur; D: Imphal,B,"Official Syllabus Fact: Keibul Lamjao NP (the world floating national park), Sirohi NP.",Manipur State Flower,Shirui Lily / Siroi Lily,Interactive SVG/CSS concept breakdown for Manipur Profile in Manipur.
NE,Manipur,Manipur,Manipur Profile,"Highest Peak: Mount Tempu/Mount Iso (2,994 m).",What is the highest mountain peak in Manipur?,Sangai (endemic to Loktak Lake),Which is the highest mountain peak in Manipur?,"A: Imphal; B: Itanagar; C: Dispur; D: Mount Tempu / Mount Iso (2,994 m)",D,"Official Syllabus Fact: Mount Tempu/Mount Iso (2,994 m).",Manipur Highest Peak,"Mount Tempu / Mount Iso (2,994 m)",Interactive SVG/CSS concept breakdown for Manipur Profile in Manipur.
NE,Manipur,Manipur,Manipur Profile,Major Hills: Manipur Hills (part of the Purvanchal Range).,What is the geographical significance of Major Hills in Manipur?,"Keibul Lamjao NP (world only floating national park), Sirohi NP",Which statement identifies statement describes the geographical significance of Major Hills in Manipur?,A: Manipur Hills (part of the Purvanchal Range).; B: It forms part of the mangrove delta wetlands in the Sundarbans of West Bengal.; C: It is a high-altitude glaciated valley situated in the Pir Panjal range of Jammu & Kashmir.; D: It is an isolated coral atoll reef structure in the Lakshadweep archipelago.,A,Official NE Syllabus Fact: Manipur Hills (part of the Purvanchal Range).,Manipur National Parks,"Keibul Lamjao NP (world only floating national park), Sirohi NP",Interactive SVG/CSS concept breakdown for Manipur Profile in Manipur.
NE,Meghalaya,Meghalaya,Meghalaya Profile,Capital: Shillong.,What is the capital city of Meghalaya?,Shillong,What is the capital city of Meghalaya?,A: Dispur; B: Itanagar; C: Shillong; D: Imphal,C,Official Syllabus Fact: Shillong.,Meghalaya Capital,Shillong,Interactive SVG/CSS concept breakdown for Meghalaya Profile in Meghalaya.
NE,Meghalaya,Meghalaya,Meghalaya Profile,"State Symbols: Clouded Leopard (Animal), Hill Myna (Bird), Lady Slipper Orchid (Flower).","What are the official state symbols (animal, bird, flower) of Meghalaya?",Clouded Leopard,Which animal is recognized as the official State Animal of Meghalaya?,A: Itanagar; B: Imphal; C: Clouded Leopard; D: Dispur,C,"Official Syllabus Fact: Clouded Leopard (Animal), Hill Myna (Bird), Lady Slipper Orchid (Flower).",Meghalaya State Animal,Clouded Leopard,Interactive SVG/CSS concept breakdown for Meghalaya Profile in Meghalaya.
NE,Meghalaya,Meghalaya,Meghalaya Profile,"Special Conserved Fauna: Clouded Leopard, Hoolock Gibbon.",What is the geographical significance of Special Conserved Fauna in Meghalaya?,Hill Myna,Which species is the official State Bird of Meghalaya?,A: Hill Myna; B: Itanagar; C: Imphal; D: Dispur,A,"Official Syllabus Fact: Clouded Leopard, Hoolock Gibbon.",Meghalaya State Bird,Hill Myna,Interactive SVG/CSS concept breakdown for Meghalaya Profile in Meghalaya.
NE,Meghalaya,Meghalaya,Meghalaya Profile,"Important National Parks: Balpakram NP, Nokrek NP.",What are the major declared National Parks located in Meghalaya?,Lady Slipper Orchid,Which flower is the official State Flower of Meghalaya?,A: Lady Slipper Orchid; B: Imphal; C: Itanagar; D: Dispur,A,"Official Syllabus Fact: Balpakram NP, Nokrek NP.",Meghalaya State Flower,Lady Slipper Orchid,Interactive SVG/CSS concept breakdown for Meghalaya Profile in Meghalaya.
NE,Meghalaya,Meghalaya,Meghalaya Profile,"Highest Peak: Shillong Peak (1,965 m).",What is the highest mountain peak in Meghalaya?,"Clouded Leopard, Hoolock Gibbon",Which is the highest mountain peak in Meghalaya?,"A: Itanagar; B: Shillong Peak (1,965 m); C: Dispur; D: Imphal",B,"Official Syllabus Fact: Shillong Peak (1,965 m).",Meghalaya Highest Peak,"Shillong Peak (1,965 m)",Interactive SVG/CSS concept breakdown for Meghalaya Profile in Meghalaya.
NE,Meghalaya,Meghalaya,Meghalaya Profile,"Major Hills: Garo, Khasi, and Jaintia Hills (comprising the Meghalaya Plateau).",What is the geographical significance of Major Hills in Meghalaya?,"Balpakram NP, Nokrek NP",Which statement identifies statement describes the geographical significance of Major Hills in Meghalaya?,"A: It is a major south-flowing river basin originating near Mahabaleshwar in the Western Ghats.; B: It forms part of the Malabar coastal plains with signature backwater kayals in Kerala.; C: It is an isolated coral atoll reef structure in the Lakshadweep archipelago.; D: Garo, Khasi, and Jaintia Hills (comprising the Meghalaya Plateau).",D,"Official NE Syllabus Fact: Garo, Khasi, and Jaintia Hills (comprising the Meghalaya Plateau).",Meghalaya National Parks,"Balpakram NP, Nokrek NP",Interactive SVG/CSS concept breakdown for Meghalaya Profile in Meghalaya.
NE,Meghalaya,Meghalaya,Major Hill Ranges (Meghalaya),"Major Hills: Garo Hills, Khasi Hills, and Jaintia Hills (comprising the Meghalaya Plateau / Shillong Plateau).",What is the geographical significance of Major Hills in Meghalaya?,"Garo Hills, Khasi Hills, and Jaintia Hills.",Which three hill ranges compose the Meghalaya Plateau from West to East?,"A: Mikir, Rengma, Barail; B: Dafla, Miri, Abor; C: Garo, Khasi, Jaintia; D: Jampui, Atharamura, Longtharai",C,"Official Syllabus Fact: Garo Hills, Khasi Hills, and Jaintia Hills (comprising the Meghalaya Plateau / Shillong Plateau).",Garo Hills,Western hill division of Meghalaya (Nokrek Peak).,Interactive SVG/CSS concept breakdown for Major Hill Ranges (Meghalaya) in Meghalaya.
NE,Mizoram,Mizoram,Mizoram Profile,Capital: Aizawl.,What is the capital city of Mizoram?,Aizawl,What is the capital city of Mizoram?,A: Imphal; B: Itanagar; C: Dispur; D: Aizawl,D,Official Syllabus Fact: Aizawl.,Mizoram Capital,Aizawl,Interactive SVG/CSS concept breakdown for Mizoram Profile in Mizoram.
NE,Mizoram,Mizoram,Mizoram Profile,"State Symbols: Himalayan Serow (Animal), Mrs. Hume Pheasant (Bird), Red Vanda (Flower).","What are the official state symbols (animal, bird, flower) of Mizoram?",Himalayan Serow,Which animal is recognized as the official State Animal of Mizoram?,A: Itanagar; B: Imphal; C: Dispur; D: Himalayan Serow,D,"Official Syllabus Fact: Himalayan Serow (Animal), Mrs. Hume Pheasant (Bird), Red Vanda (Flower).",Mizoram State Animal,Himalayan Serow,Interactive SVG/CSS concept breakdown for Mizoram Profile in Mizoram.
NE,Mizoram,Mizoram,Mizoram Profile,"Special Conserved Fauna: Serow, Asiatic Black Bear.",What is the geographical significance of Special Conserved Fauna in Mizoram?,Mrs. Hume Pheasant,Which species is the official State Bird of Mizoram?,A: Mrs. Hume Pheasant; B: Dispur; C: Itanagar; D: Imphal,A,"Official Syllabus Fact: Serow, Asiatic Black Bear.",Mizoram State Bird,Mrs. Hume Pheasant,Interactive SVG/CSS concept breakdown for Mizoram Profile in Mizoram.
NE,Mizoram,Mizoram,Mizoram Profile,"Important National Parks: Murlen NP, Phawngpui NP.",What are the major declared National Parks located in Mizoram?,Red Vanda,Which flower is the official State Flower of Mizoram?,A: Itanagar; B: Red Vanda; C: Imphal; D: Dispur,B,"Official Syllabus Fact: Murlen NP, Phawngpui NP.",Mizoram State Flower,Red Vanda,Interactive SVG/CSS concept breakdown for Mizoram Profile in Mizoram.
NE,Mizoram,Mizoram,Mizoram Profile,"Highest Peak: Phawngpui/Blue Mountain (2,165 m).",What is the highest mountain peak in Mizoram?,"Himalayan Serow, Asiatic Black Bear",Which is the highest mountain peak in Mizoram?,"A: Phawngpui / Blue Mountain (2,165 m); B: Imphal; C: Dispur; D: Itanagar",A,"Official Syllabus Fact: Phawngpui/Blue Mountain (2,165 m).",Mizoram Highest Peak,"Phawngpui / Blue Mountain (2,165 m)",Interactive SVG/CSS concept breakdown for Mizoram Profile in Mizoram.
NE,Mizoram,Mizoram,Mizoram Profile,Major Hills: Mizo Hills (formerly Lushai Hills).,What is the geographical significance of Major Hills in Mizoram?,"Murlen NP, Phawngpui NP",Which statement identifies statement describes the geographical significance of Major Hills in Mizoram?,A: It is an arid rain-shadow plateau located in the Deccan Peninsular Interior.; B: It is an isolated coral atoll reef structure in the Lakshadweep archipelago.; C: It forms part of the Malabar coastal plains with signature backwater kayals in Kerala.; D: Mizo Hills (formerly Lushai Hills).,D,Official NE Syllabus Fact: Mizo Hills (formerly Lushai Hills).,Mizoram National Parks,"Murlen NP, Phawngpui NP",Interactive SVG/CSS concept breakdown for Mizoram Profile in Mizoram.
NE,Nagaland,Nagaland,Nagaland Profile,Capital: Kohima.,What is the capital city of Nagaland?,Kohima,What is the capital city of Nagaland?,A: Dispur; B: Itanagar; C: Imphal; D: Kohima,D,Official Syllabus Fact: Kohima.,Nagaland Capital,Kohima,Interactive SVG/CSS concept breakdown for Nagaland Profile in Nagaland.
NE,Nagaland,Nagaland,Nagaland Profile,"State Symbols: Mithun (Animal), Blyth Tragopan (Bird), Tree Rhododendron (Flower).","What are the official state symbols (animal, bird, flower) of Nagaland?",Mithun (Bos frontalis),Which animal is recognized as the official State Animal of Nagaland?,A: Mithun (Bos frontalis); B: Itanagar; C: Imphal; D: Dispur,A,"Official Syllabus Fact: Mithun (Animal), Blyth Tragopan (Bird), Tree Rhododendron (Flower).",Nagaland State Animal,Mithun (Bos frontalis),Interactive SVG/CSS concept breakdown for Nagaland Profile in Nagaland.
NE,Nagaland,Nagaland,Nagaland Profile,"Special Conserved Fauna: Amur Falcon (during migration roosting), Blyth Tragopan.",What is the geographical significance of Special Conserved Fauna in Nagaland?,Blyth Tragopan,Which species is the official State Bird of Nagaland?,A: Itanagar; B: Blyth Tragopan; C: Imphal; D: Dispur,B,"Official Syllabus Fact: Amur Falcon (during migration roosting), Blyth Tragopan.",Nagaland State Bird,Blyth Tragopan,Interactive SVG/CSS concept breakdown for Nagaland Profile in Nagaland.
NE,Nagaland,Nagaland,Nagaland Profile,Important National Parks: Ntangki NP.,What are the major declared National Parks located in Nagaland?,Tree Rhododendron,Which flower is the official State Flower of Nagaland?,A: Dispur; B: Tree Rhododendron; C: Imphal; D: Itanagar,B,Official Syllabus Fact: Ntangki NP.,Nagaland State Flower,Tree Rhododendron,Interactive SVG/CSS concept breakdown for Nagaland Profile in Nagaland.
NE,Nagaland,Nagaland,Nagaland Profile,"Highest Peak: Mount Saramati (3,841 m).",What is the highest mountain peak in Nagaland?,"Amur Falcon (migratory roosting), Blyth Tragopan",Which is the highest mountain peak in Nagaland?,"A: Itanagar; B: Mount Saramati (3,841 m); C: Imphal; D: Dispur",B,"Official Syllabus Fact: Mount Saramati (3,841 m).",Nagaland Highest Peak,"Mount Saramati (3,841 m)",Interactive SVG/CSS concept breakdown for Nagaland Profile in Nagaland.
NE,Nagaland,Nagaland,Nagaland Profile,"Major Hills: Naga Hills, Patkai Bum (forming the border with Myanmar).",What is the geographical significance of Major Hills in Nagaland?,Ntangki National Park,Which statement identifies statement describes the geographical significance of Major Hills in Nagaland?,"A: Naga Hills, Patkai Bum (forming the border with Myanmar).; B: It forms part of the mangrove delta wetlands in the Sundarbans of West Bengal.; C: It is a rift valley bounded by the Vindhya and Satpura mountain ranges in Central India.; D: It represents a coastal saline wetland system along the Rann of Kutch in Gujarat.",A,"Official NE Syllabus Fact: Naga Hills, Patkai Bum (forming the border with Myanmar).",Nagaland National Parks,Ntangki National Park,Interactive SVG/CSS concept breakdown for Nagaland Profile in Nagaland.
NE,Tripura,Tripura,Tripura Profile,Capital: Agartala.,What is the capital city of Tripura?,Agartala,What is the capital city of Tripura?,A: Imphal; B: Agartala; C: Dispur; D: Itanagar,B,Official Syllabus Fact: Agartala.,Tripura Capital,Agartala,Interactive SVG/CSS concept breakdown for Tripura Profile in Tripura.
NE,Tripura,Tripura,Tripura Profile,"State Symbols: Phayre Leaf Monkey/Spectacled Langur (Animal), Green Imperial Pigeon (Bird), Nageshwar/Cobra Saffron (Flower).","What are the official state symbols (animal, bird, flower) of Tripura?",Phayre Leaf Monkey / Spectacled Langur,Which animal is recognized as the official State Animal of Tripura?,A: Dispur; B: Itanagar; C: Phayre Leaf Monkey / Spectacled Langur; D: Imphal,C,"Official Syllabus Fact: Phayre Leaf Monkey/Spectacled Langur (Animal), Green Imperial Pigeon (Bird), Nageshwar/Cobra Saffron (Flower).",Tripura State Animal,Phayre Leaf Monkey / Spectacled Langur,Interactive SVG/CSS concept breakdown for Tripura Profile in Tripura.
NE,Tripura,Tripura,Tripura Profile,Special Conserved Fauna: Phayre Langur.,What is the geographical significance of Special Conserved Fauna in Tripura?,Green Imperial Pigeon,Which species is the official State Bird of Tripura?,A: Dispur; B: Itanagar; C: Green Imperial Pigeon; D: Imphal,C,Official Syllabus Fact: Phayre Langur.,Tripura State Bird,Green Imperial Pigeon,Interactive SVG/CSS concept breakdown for Tripura Profile in Tripura.
NE,Tripura,Tripura,Tripura Profile,"Important National Parks: Clouded Leopard NP, Rajbari (Bison) NP.",What are the major declared National Parks located in Tripura?,Nageshwar / Cobra Saffron,Which flower is the official State Flower of Tripura?,A: Imphal; B: Itanagar; C: Nageshwar / Cobra Saffron; D: Dispur,C,"Official Syllabus Fact: Clouded Leopard NP, Rajbari (Bison) NP.",Tripura State Flower,Nageshwar / Cobra Saffron,Interactive SVG/CSS concept breakdown for Tripura Profile in Tripura.
NE,Tripura,Tripura,Tripura Profile,Highest Peak: Betlingchhip/Sibrai-khung (930 m).,What is the highest mountain peak in Tripura?,Phayre Leaf Monkey,Which is the highest mountain peak in Tripura?,A: Itanagar; B: Imphal; C: Dispur; D: Betlingchhip / Sibrai-khung (930 m),D,Official Syllabus Fact: Betlingchhip/Sibrai-khung (930 m).,Tripura Highest Peak,Betlingchhip / Sibrai-khung (930 m),Interactive SVG/CSS concept breakdown for Tripura Profile in Tripura.
NE,Tripura,Tripura,Tripura Profile,"Major Hills: Jampui Hills, Atharamura Range.",What is the geographical significance of Major Hills in Tripura?,"Clouded Leopard NP, Rajbari (Bison) NP",Which statement identifies statement describes the geographical significance of Major Hills in Tripura?,"A: It forms part of the Malabar coastal plains with signature backwater kayals in Kerala.; B: It is an arid rain-shadow plateau located in the Deccan Peninsular Interior.; C: Jampui Hills, Atharamura Range.; D: It forms part of the mangrove delta wetlands in the Sundarbans of West Bengal.",C,"Official NE Syllabus Fact: Jampui Hills, Atharamura Range.",Tripura National Parks,"Clouded Leopard NP, Rajbari (Bison) NP",Interactive SVG/CSS concept breakdown for Tripura Profile in Tripura.
NE,World Natural Heritage Sites (WNHS),NE Heritage,Kaziranga National Park (Assam),Famous home to two-thirds of the world's great one-horned rhinoceroses.,What is a key geographical feature of Kaziranga National Park (Assam) in NE Heritage?,Two-thirds of the world population.,What fraction of the world one-horned rhino population lives in Kaziranga?,A: One-third; B: Two-thirds; C: Three-fourths; D: One-half,B,Official Syllabus Fact: Famous home to two-thirds of the world's great one-horned rhinoceroses.,Kaziranga Rhino Population,Two-thirds of the global one-horned rhino population.,Interactive SVG/CSS concept breakdown for Kaziranga National Park (Assam) in NE Heritage.
NE,World Natural Heritage Sites (WNHS),NE Heritage,Manas Wildlife Sanctuary (Assam),A scenic tiger and elephant reserve near the foothills of the Himalayas.,What is a key geographical feature of Manas Wildlife Sanctuary (Assam) in NE Heritage?,In the foothills of the Himalayas in Assam.,Where is Manas Wildlife Sanctuary situated?,A: Foothills of the Himalayas; B: Western Ghats; C: Sunderbans Delta; D: Thar Desert,A,Official Syllabus Fact: A scenic tiger and elephant reserve near the foothills of the Himalayas.,Manas Location,Himalayan foothills in Assam BTR region.,Interactive SVG/CSS concept breakdown for Manas Wildlife Sanctuary (Assam) in NE Heritage.
NE,World Natural Heritage Sites (WNHS),NE Heritage,Moidams – Ahom Dynasty Mounds (Assam),Sacred royal mound-burial systems located in Charaideo.,What is a key geographical feature of Moidams – Ahom Dynasty Mounds (Assam) in NE Heritage?,Sacred royal mound-burial systems of the Ahom Dynasty.,In which location are the sacred royal mound-burial Moidams of the Ahom Dynasty situated?,A: Guwahati; B: Tezpur; C: Jorhat; D: Charaideo,D,Official Syllabus Fact: Sacred royal mound-burial systems located in Charaideo.,Moidams Definition,Sacred royal mound-burial systems in Charaideo.,Interactive SVG/CSS concept breakdown for Moidams – Ahom Dynasty Mounds (Assam) in NE Heritage.
NE,World Natural Heritage Sites (WNHS),NE Heritage,Khangchendzonga National Park (Sikkim),A stunning mixed-criteria mountain and glacial ecosystem.,What is a key geographical feature of Khangchendzonga National Park (Sikkim) in NE Heritage?,India first Mixed UNESCO World Heritage Site.,What special UNESCO category does Khangchendzonga National Park fall under?,A: Mixed-criteria natural and cultural site; B: Marine Biosphere; C: Desert Ecosystem; D: Cultural Site only,A,Official Syllabus Fact: A stunning mixed-criteria mountain and glacial ecosystem.,Khangchendzonga Category,First Mixed UNESCO World Heritage Site in India.,Interactive SVG/CSS concept breakdown for Khangchendzonga National Park (Sikkim) in NE Heritage.
NE,Biosphere Reserves (BR),NE Biosphere,"General Schema (Core, Buffer & Eco-Sensitive Zone)","Structure: Biosphere reserves are divided into three concentric zones: Core Zone (strictly protected natural ecosystem), Buffer Zone (used for scientific research, education, and eco-tourism), and Eco-Sensitive / Transition Zone (outermost region for sustainable human settlements and agriculture).",What ecological markers and conservation zones define NE Biosphere?,"Core Zone, Buffer Zone, and Eco-Sensitive / Transition Zone.",Which zone of a Biosphere Reserve is strictly legally protected from human activity?,A: Peripheral Zone; B: Core Zone; C: Buffer Zone; D: Transition Zone,B,Official Syllabus Fact: Biosphere reserves are divided into three concentric zones,Core Zone,Strictly protected area for nature conservation.,"Interactive SVG/CSS concept breakdown for General Schema (Core, Buffer & Eco-Sensitive Zone) in NE Biosphere."
NE,Biosphere Reserves (BR),NE Biosphere,Manas Biosphere Reserve (Assam),Located in the foothills of the Himalayas.,What is a key geographical feature of Manas Biosphere Reserve (Assam) in NE Biosphere?,In the foothills of the Himalayas in Assam.,Where is Manas Biosphere Reserve located?,A: Sunderbans Delta; B: Deccan Plateau; C: Foothills of the Himalayas; D: Western Ghats,C,Official Syllabus Fact: Located in the foothills of the Himalayas.,Manas BR Location,Foothills of the Himalayas in Assam.,Interactive SVG/CSS concept breakdown for Manas Biosphere Reserve (Assam) in NE Biosphere.
NE,Biosphere Reserves (BR),NE Biosphere,Manas Biosphere Reserve (Assam),"Known for the wild water buffalo, pygmy hog, and golden langur.",What is a key geographical feature of Manas Biosphere Reserve (Assam) in NE Biosphere?,"Wild water buffalo, pygmy hog, and golden langur.",Which three iconic fauna are specially conserved in Manas BR?,"A: Gharial, Dugong, Dolphin; B: Red Panda, Snow Leopard, Takin; C: Lion, Cheetah, Leopard; D: Wild water buffalo, pygmy hog, golden langur",D,"Official Syllabus Fact: Known for the wild water buffalo, pygmy hog, and golden langur.",Wild Water Buffalo,Conserved in Manas Biosphere Reserve.,Interactive SVG/CSS concept breakdown for Manas Biosphere Reserve (Assam) in NE Biosphere.
NE,Biosphere Reserves (BR),NE Biosphere,Dibru-Saikhowa Biosphere Reserve (Assam),Formed by the Brahmaputra and Lohit rivers.,What is a key geographical feature of Dibru-Saikhowa Biosphere Reserve (Assam) in NE Biosphere?,Brahmaputra and Lohit rivers.,Which two major rivers form the island landscape of Dibru-Saikhowa BR?,A: Brahmaputra and Lohit rivers; B: Barak and Imphal; C: Manas and Sankosh; D: Ganga and Yamuna,A,Official Syllabus Fact: Formed by the Brahmaputra and Lohit rivers.,Dibru-Saikhowa Rivers,Formed by Brahmaputra and Lohit rivers.,Interactive SVG/CSS concept breakdown for Dibru-Saikhowa Biosphere Reserve (Assam) in NE Biosphere.
